horizon_months,naive_mae,naive_wape,naive_bias,seasonal_naive_mae,seasonal_naive_wape,seasonal_naive_bias,historical_xgboost_mae,historical_xgboost_wape,historical_xgboost_bias,patient_driver_mae,patient_driver_wape,patient_driver_bias,hybrid_xgboost_mae,hybrid_xgboost_wape,hybrid_xgboost_bias,n_forecasts,total_actual_sales,seasonal_naive_fva_vs_naive,historical_xgboost_fva_vs_naive,patient_driver_fva_vs_naive,hybrid_xgboost_fva_vs_naive
1,2.5528413085824586,0.005962129828000171,-0.0031526635536408202,34.06736825766726,0.07956392423126737,-0.04630632266165739,6.823571396184042,0.015936368006074026,-0.005858541009112229,7.857342554694652,0.018350727973832796,-0.005049585658987392,4.394742129877478,0.010263866794548606,-0.0042904896838919186,736,315137.5862854887,-12.344882873500737,-1.6729320672004608,-2.0778813114151915,-0.7215101131052243
3,7.336782538850198,0.01709204489544231,-0.008965482781678427,38.86817050870173,0.09054875373784078,-0.051956957688406455,12.081653704995635,0.028145875449285773,-0.009555852473007258,13.151715780596952,0.03063873235764307,-0.00759565189852303,9.522027719374147,0.0221828743612585,-0.010819480842855559,720,309060.9380145465,-4.297713310008103,-0.6467237022523283,-0.7925726585127949,-0.29784788753823643
6,14.390874156857002,0.033344045181614886,-0.01761546097245775,45.81679826067358,0.10615876246495445,-0.06019812100208338,20.998799908397334,0.04865478811595787,-0.02207815539967457,21.10973757661702,0.04891183369784128,-0.013718484451769148,19.044727652572792,0.04412714977542609,-0.025799239742722076,704,303837.6223174451,-2.183739761829734,-0.45917472972910217,-0.46688361989174915,-0.3233892149281501
12,27.733358981216117,0.06360902883561705,-0.03390732816022199,59.380388943866016,0.13619442474165458,-0.07562595214794629,45.88116686904315,0.10523270795872226,-0.07122627680311878,52.92004560183324,0.12137702861557848,-0.07252803039270753,58.779836384994205,0.1348170017955032,-0.11182023566374792,672,292990.12383194553,-1.1411178135358402,-0.6543674677170763,-0.9081729565349848,-1.1194632941796179
