horizon_months,model,WAPE,MAE,Bias
1.0,naive,0.005962129828000171,2.5528413085824586,-0.0031526635536408202
1.0,seasonal_naive,0.07956392423126737,34.06736825766726,-0.04630632266165739
1.0,historical_xgboost,0.015936368006074026,6.823571396184042,-0.005858541009112229
1.0,patient_driver,0.018350727973832796,7.857342554694652,-0.005049585658987392
1.0,hybrid_xgboost,0.010263866794548606,4.394742129877478,-0.0042904896838919186
3.0,naive,0.01709204489544231,7.336782538850198,-0.008965482781678427
3.0,seasonal_naive,0.09054875373784078,38.86817050870173,-0.051956957688406455
3.0,historical_xgboost,0.028145875449285773,12.081653704995635,-0.009555852473007258
3.0,patient_driver,0.03063873235764307,13.151715780596952,-0.00759565189852303
3.0,hybrid_xgboost,0.0221828743612585,9.522027719374147,-0.010819480842855559
6.0,naive,0.033344045181614886,14.390874156857002,-0.01761546097245775
6.0,seasonal_naive,0.10615876246495445,45.81679826067358,-0.06019812100208338
6.0,historical_xgboost,0.04865478811595787,20.998799908397334,-0.02207815539967457
6.0,patient_driver,0.04891183369784128,21.10973757661702,-0.013718484451769148
6.0,hybrid_xgboost,0.04412714977542609,19.044727652572792,-0.025799239742722076
12.0,naive,0.06360902883561705,27.733358981216117,-0.03390732816022199
12.0,seasonal_naive,0.13619442474165458,59.380388943866016,-0.07562595214794629
12.0,historical_xgboost,0.10523270795872226,45.88116686904315,-0.07122627680311878
12.0,patient_driver,0.12137702861557848,52.92004560183324,-0.07252803039270753
12.0,hybrid_xgboost,0.1348170017955032,58.779836384994205,-0.11182023566374792
